,image_id,headline,byline,text,label
299,7_18482090-syracuse-post-standard-Feb-26-1963-p-20.jpg,"Sensible Speiling
System Needed
 ",,"ithe Lor af Pee Osl- ohare
Your fe edztorial an the
Feb. 13 edstion calls attection
te the plight of 11,000) men
end women mf Onondaga
County who can peither read
hor «rite This 3s parb of a
nationwide picture, You note
that the Sovret Union is ton-
Ing abead of the United States
Jn wiping out ilLteracy, DMay
I call attention to one obvious
reason, that seema ig be gen-
erally overlooked?
Since 1018, Russian has used
36 symbols for 34 sounds, and
is rated 90% phonakte im
Spelling, whereas English
uses 200 symbols (letters or
combinations of letters} for 44
sounds, and is Yraled 20%
phonele. Whereas Fussian
children learn lo read aad
write with ezse, our children
ara at least bvo years retarded
because of our ececeniric so-
called orthography, the worst
on eatth

Many of the children are a
frustrated and discouraged
that they drop out before they
learn to read and write
“Remedial reading” and ""rem=
edal writing” would not be
needed af we had a sensible
system of spelling

It as hugh me that public
opinion caught up with thal
in the State, of California,
whose Stale Senate passed a
resolution on March 32, 1961,
urging the President and Con=
gress of the United States to
mitiake and support legisla-
lion to establsh a National
Spelling Commussion to reform
English spelling and publish
a United States Official Dict-
onary

The Calforma Newspaper
Association and the California
Press Association have passed
similar resolutions, and Con-
gressman Harlan Hagen of
Califoinia has introduced HR.
3476 tu give effect to this re-
form.

Lat's follow California's lead
and demand that our Govern-
ment give ug (he reformed
spelling of Engiish that has
long been so long overdue,
and abolish the abomination
thal handicaps all our educa-
ional efforts?

CLARENCE HOTSON, PhD,
Romulus.
 ",Neither
255,9_226247607-sedalia-democrat-Dec-14-1933-p-1.jpg,"DAMAGE SUIT IS
ON TRIAL HERI
 ",,": A suit brought to this county
from Saline county, on a change
of venue, is being tried in the cir-
cuit court today. The plaintiff,
Mrs. Nona Field, wife of Fred
Field, is asking for 600 on one
count, and $1500 actual and $1,500
pumice damages on a_ second
count, from the Union Finance

| Company, Ine.

She alleges that the defendant
| company converted to its own use
ba Plymouth sedan and contents, for
which she asks $600. In taking the
property, on which the company al-
leged it held a chattel mortgage,
| she states the defendant company’s
| representative struck and injured
iher, for which she asks actual and
| punitive ‘damages,
| Robert Johnson, Saline county,
}and Henry C. Salveter of this city
| are attorneys for the plaintiff and
Jenkins and Vance of Kansas City
for the defendant.

Jurors are Walter Witmer, Henry
McNutt, C. E. Palmer, J. L. John-
son, E. R. Wood, W. H. Johnson,
J. B. Nightingale, Philip Lemler, J.
| M. Baldwin, S. E. Harvey, Leonard
|Logan and John L, Sullivan.
 ",Neither
354,8_68150576-san-antonio-express-Sep-22-1952-p-3.jpg,"3 Mexico TV
Stations Asked
 ","mee RECAAT LTT, PREEG
 ","SS MET ln .

MEXICO CITY, Sent. 20. —- The
communications ministry said it is
studying applications for three new
television stations, including two
in the border area. The appli-
cations are:

Reynosa, on the perder near Me-
Allen, Texas, askedby Televisora
de Rio Bravo, channel 12; Monter-
rey, Televisora del Norte, chan
nei 63; and Guadalajara, Televisora
de Occidente, channel 10.

Mexico now has two television
stations in Mexico City and one in
Matamoros, opposite Brownsville,
Texas.
 ",Neither
400,5_304537716-ottumwa-courier-Apr-11-1964-p-1.jpg,"Quad Cities
Strike Ends
 ",,"DAVENPORT (/P) — Railroad

operations in the Quad-Cities
area were expected to return to

normal today after 400 switch-
men agreed to go back to work.

Members of two switchmen's
locals Friday night decided to
end an 18-hour walkout against
the Rock Island Railroad which
created a bottleneck in railroad
operations, caused the cancella-
ttion of some trains and delayed
others.

The switchmen voted to go
back after L, B, Richardson, a
vice president of the inter-
national union, told them they.
were the only striking railroad
workers in the United States,
and their walkout was unauth-
orized.
 ",Protest
225,15_300644693-lawrence-daily-journal-world-Nov-27-1945-p-1.jpg,"A HEARING BEFORE HOBBS
 Has Been Held to See If There is
Surety Rate Discrimination
 ",,"Topeka, Nov. 27. UP—Testimony
presented at a hearing by casualty,
fidelity and surety companies to
determine “whether there is dis-
crimination in rates” has been
taken under advisement by Charles
F, Hobbs, Kansas insurance com-
missioner.

The 1945 legislature passed a
law placing casualty rates under
supervision of the state, but stated
that the insurante commissioner
must conduct hearings before de-
termining the rate structure. The
rates will be designated by Hobbs
as of January 1. 1946.
 ",Neither
353,24_289907498-janesville-daily-gazette-Apr-15-1930-p-1.jpg,"SCHOOL SAFE ROBBED
 ",,"Monroe—Theft of $70 from the
high school safe here was reported
to police. The money. property of
the high school Bulletin, was de-
posited Friday, and probably was
stolen some time during the day.
when the safe door is left open.
 ",Neither
234,17_265719137-atchison-daily-globe-Jul-30-1945-p-1.jpg,"The Unusual
 ",,"To trim the hair of five gene-
rations of one family is the ex-
perience of W. J. Scott, Atchisor
barber. When he had a shop ai
Nortonville many years ago, he
cut for Frank and Charles H
Kaufman, now deceased, whe
lived there, and after coming tc
Atchison for George E Kaufman
and his daughter, Mrs. Charlotte
Kaufman Trombold. Last Satur-
day he performed tonsorial work
on Lynn Louise Trombold, little
daughter of Mrs, Trombold, “]
have always looked forward tc
the time when I could say I have
served five generations,’ Mr. Scott
said.
 ",Neither
383,30_131781805-sterling-daily-gazette-May-03-1929-p-1.jpg,"GIRL OLYMPIC STAR
TO RUN AT CLINTON
 ",,") CLINTON, IA.— (AP) -—) axe
| Robinson of Chicago, Olympic star,
)will run an exhibition century race
pat Clinton high school's Pvareerary
track meet tomorrow, in wt 2 40
eastern Towa und western Ulbnos
Schools have made nearly 300 ene
ties. Charles Brogkms of the Uni
versity of luwa will run a special 229
yards low hurdles. and be etart-
er,
Among
pooslbilst
cape, anu

 

  

   

 

 

Nifable team chimp on
P Ghenn Bye Che
wet. I

   
 
 ",Neither
274,10_285530026-kannapolis-daily-independent-May-11-1956-p-4.jpg,"Unquote!
 ",," 

GOV. WALTER J. KOHLER, an
official observer of current H-
bomb tests:

“If a life is lost or anyone is
injured in these tests it will not
be because joint task force seven
because joint task force seven
failed to do everything humanly
and electronically possible to pre-
vent it.”

LYNDON JOHNSON responds to
a reporter's question after his
Texas Democratic primary vic-
tory:

“If the question is ‘do I plan
to seek and pursue the delegates
of other states,’ the answer is no.
I am not a stop-anybody man and
this is not a holding action.”

 
 ",Neither
36,2_10747547-deming-headlight-Nov-25-1938-p-2.jpg,"Meadowlark Well-Known Bird
 ",,"The eastern meadowlark is a
common and well-known bird oc-
turing from the Atlantic cozst to the
Great Plains, where it gives way to
the closely related western species,
which extends thence westward ta
the Pacific. It winters trom our
southern border as far north as the
District of Columbia, southern Di-
nois, and oceasionally fowa. The
western form winters somewhat far-
ther north. Although it is a bird of
the plains, and finds its most con-
genial haunts in the prairies of the
West, it is at home wherever there
is level or undulating land covered
with grass or weeds, with plenty
of water at hand
 ",Neither
196,20_159995263-postville-herald-Mar-06-1946-p-1.jpg,"More Men Discharged:
Other Servicemen’s News
 ",,"Petty Officer Neil Peckham arrived
home yesterday morning from the
Navy separation center at Minne-
apolis, Minn., where he received his
honorable discharge. He is a son of
Mrs. Ruby Peckham of this city. A
graduate of Postville high school, Neil
served aboard the Battleship Wiscon-
sin which was in the thick of the
fighting in the final battles of the
Asiatic-Pacific theater. He was in
service for close to two years.

‘Petty Officer Clarence Tindell is ex-
pectéd here this week on leave from
the Navy and may have his discharge
from the service. |He arrived in San
Francisco, Calif, from the Pacific zone
last Wednesday and telephoned his
parents, Mr. and Mrs. Glen Tindell,
that they could be expecting him ’most
any day now.

Duane Thompson Is Out.

iSgt, Duane Thompson arrived here

Sunday from MeGill Field, Florida,
having been given his discharge from
the army. |He is a brother of Mrs. Hall
Muchow and has been in the service
for close to four years, much of this
time being spent overseas.

Francis Kneeland arrived here last
‘| Wednesday from Notre Dame, Ind.,
'|for a 12-day visit to his parents, Mr.
jand Mrs. W. A. Kneeland, between
_|semesters. Francis is in the Navy pro-
gram at Notre Dame and his company
recently was named the highest rank-
ing outfit at the station.

Pvt, Leo Meyer, who has been sta-
tioned at Camp Robinson, Arkansas,
came Saturday night for a week's fur-
lough which he is spending with his
parents, Mr. and Mrs. Helmuth Meyer.
He has been ordered to report at Fort
Ord, Calif., after the furlough. expires.

Carlas Schultz, Radioman Second
Class, arrived here Monday morning
from Fallon, Nevada, for a 15-day
leave which he is spending in the
home of his parents, Mr. and Mrs.
Emil Schultz, Sr.

Major and Mrs. Robert Bachtell are
now living.at Oakland, Calif, where
the Major is in the office of aircraf
accident prevention of the Oaklanc
niunicipal airport, according to a. lette
received here this week, 3

 
  
  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 
   
   
 
 
 
 
 
 
 
 
 
  
 ",Neither
139,8_105326581-evening-independent-Mar-09-1934-p-1.jpg,"More Than 6,000 “Person:
Attend Exposition _
Second Day .
 Food , Style
Shows Draw
Large Crowd
 ",,"‘The first-day attendance record
at-the grocery and provision ex-
position of the Massillon Busi-~
ness bureau was broken Thursday
afternoon and evening as be-

tween 6,000 and 7,000 persons
crowded into the Main-Hill build-
ing to view the attractively-deco-
rated booths and attend the two
style shows in the evening.

As was the case on the first
day, the attendance was rather
large m the afternoon but not as
large as in the evening. The
crowd became so great in the
evening that it was necessary to
lock the doors for a short time to
prevent any more visitors crowd-
ing into the building.

The style shows last night were
especially enjoyable. The feature,
of course, was a bridal party with
Miss J. Carey as the bride and
Henry Shriver, of this city, as
 ",Neither
365,6_4150079-bismarck-tribune-Aug-27-1938-p-4.jpg,"Behind Scenes
Washineton
 ",,"(Tribune Washington Correspondent)
Wastington, Aug. 27--A real Russo-
Japanese war, if it should come, will
Likely produce the most spectacular.
‘effective aerial bombardment and
{combat yet seen.
| Tokio, as American army officers
aoe it, would become the frst capital
of a majar power to suffer a severe
j aerial bombardment.
| Tt Ls jess than 700 miles from Rus-
aia's Vladivostok to Toklo. Experts
'who believe Tokio would be m prompt
Dojective also envision suickie squad-
rons of Japanese taking off with ads
lof explosives and flying madly into
Ruslan air Neets.
| Newa of darkening of Japanese!
cities confirms bellef that Tokio and
other large sealers are vulnerable.
* *
What May Be in the Rusaisn Mind
Diplomats and military men have
supposed that the Changkufeng
fighting would be kept localized, on
the theory that Japan wante no war
because of her Chiinese involvement
and that Russia has too much to
worry about in Europe. This 65 mere
deduction. Aside from general back~
ground, all the state, war and navy
departments know is what they read
in the newspspers—meaning the of-
ficial versions from Tokio and Moe-

cow,

Several bizarre theories as to the
“real reason” behind the outbreak
have gained wide credence in Washs
ington. But the best Far Eastern ex-
perts are unwilling to go beyond sug-
gesting as possiblities:

1. That Russia has sought to dif-
fuse Japanese military energy and
take heat off the Chinese. Chinese
resistance might suddenly collapse—
28 Ethiopian resistance to Ytallan
troops did—and Russia may have
been warned of such # likelihood,

2 That Russia desired to teat Ja~
panese reaction and find out how
weak or strong Japanese resistance
would be,

3 That Russia, believing the point
of maximum Japanese weakness may ;
iave been reached, prefers to strike!
afore Japan can consolidate beri?
2osition in China. H

At any rate, Russian troops moved
nto previously unoccupied territory |
Mf great strategic value and Japanese | |
Gught to drive them off. The Chang- '
ufeng hills dominate Japan’s Tu-
nen railroad, which runs far inte
fanchukuo from the important new
<orean port of Rashin. The Reshin-
rumen route is Japan's shortest route
or getting troops and supplies into| ¢)
fanchukuo. a

se

Treaty? Tresty? What Treaty? ||

Mention of the alleged treaty with 8
hina on which Russia bases clalm t
> the disputed territory brings skep-
ea] grins from state department of- ke
icials, who never heard of such a ti
reaty. They haven't even § map
earing the name Chengkufeng—and :
hey have many exhaustive maps.
‘o Japanese questioning existence of | >
he treaty, Russia says: “Ask the Chi-
ese.” Japan warring on China, | tl
ron't. ‘
One of the less serewy-sounding | P
neorles circulated in Washington | U
ayS Japan attacked Russians in a
lajor engagement at behest of Ger-| ss
any, a8 & prelude to a widely-fear-/ w
1 German invasion of Crechoslova- | T
ia this month. ed
While renewed Berlin verbs! blasta | 4:
gainst the Crechs might back up i ne
us theory, cagey diplomete here cay | w
apan wouldn't stick her neck out
ist because Germany asked her. | 1
ut they say many Japanese mille
ists would take on both Russla | ,.
nd Chins, w
mopyright, 1988, NEA Service, Inc.)

 
 ",Neither
244,10_288709824-daily-telegram-Apr-05-1966-p-1.jpg,"Negro Riot Broken Up
at Mississippi College
 ",,"- LORMAN, Miss. (UPI) —
State troopers reinforced by
National Guardsmen, tightly
guarded the Alcorn A&M
College campus today to
prevent a recurrence of rowdy
demonstrations by Negro

youths.

Gov. Paul Johnson ordered
an infantry company of guards-
men from Natchez to Lorman
Monday night after troopers
used tear gas to clear a
dormitory of bottle and brick
throwing Negroes.

At least 35 persons were
arrested Monday during demon-
strations protesting the alleged
firing of teachers and suspen-
sion of students from Alcorn
A&M for Wn rights activities.
Officials of tthe state-supported
 Negro college denied the
accusation by civil rights
leaders.

A new shipment of tear gas
was flown into this rural
southwestern Mississippi town
Monday night and troopers,
part of a contingent of 180,
guarded the main gate to the
campus with riot guns and gas
masks.

The troopers barred about 300
persons, led by Negro leader
Charles Evers, from entering
the campus Monday night.
Sheriff C. W. McKay told the
marchers that ‘“‘We don’t feel
it’s safe for a night march.”

The Negroes turned around
without incident, but Evers told
the demonstrators to gather
again.
 ",Riot
440,8_164668031-scandia-journal-Jan-10-1952-p-1.jpg,"| Good Dry Flies.
 ",,"_ Dry flies, as their name indicates,
‘are tied 80 they will float. They must
be tied-on light hooks and have
hackle. that is.stiff.and glossy. One
must. pay” a good price’ for. really
good dry ‘flies, for they are expen-:
Sive. Tf one wants ‘the best--and
nothing. else’.should do—one ‘must
pay more, but results will more than
compensate for the outlay, Poorly-
tied dry flies‘ won*t float’ properly
and, consequently, won’t catch as
inany fish .as those. properly tied,
 ",Neither
286,0_337905228-kent-daily-kent-stater-Apr-22-1971-p-5.jpg,"OPINION
 ",,"Borrowing largely from peace marshal
training guides, our proposals are spelled out
below. The various marshal roles and tactics
focus on eliminating panic, keeping your cool
and instigating others to keep theirs to
prevent violence.

Effective peace marshals keep their
statements as calm, clear and concise as
possible. They come up with quick decisions
and have a sense of timing enabling them to
grasp the moment and act.

The degree of emotional arousal in a group
correlates with the degree of reasoning that
can be effective. When in a group on the brink
of violence, the peace marshal should meet
the groups ability to reason with short,
simple, effective statements that make
sense. If they can’t be dissuaded from
violence, try to divert them to a target of
lesser importance.

Less volatile situations can be further
relaxed with more elaborate reasoning and
group expression of feelings and ideas. This
serves the purpose of lessening arousal and
confusion, aids in the purpose of learning and
leads to decisions of more acceptable actions.

Peach marshals often have the dual func-
tion of participating in a protest while they
keep an ear to the ground for runaway
emotions. There should be no need to em-
phasize the fact that peaceful protests will be
a very necessary outlet for sincere ex-
pression.

Anyone that would over-react to such an
assembly with authoritarian disapproval is
not for peace, but is a force to be dealt with by
the peace marshals in an effort to contain
violence. A violent reaction to potential or
existing violence is counterproductive; it
only leads to an escalation of the violent
tactics being employed.

Marshals do not involve themselves in
shouting matches with each other. They
respond to the first idea verbalized by a
 ",Neither
59,15_197859293-hammond-times-Dec-29-1938-p-29.jpg,"Advise Comes from Barry
As Field Officer of Se-
curity Board
 ",,"Administrators or executors - of
‘estates were requested today by
‘Philip J. Barry, manager of the
field office of the social security
‘hoard for Lake and Porter counties,
to ascertain whether the estate
they represent is entitled to 2
single cash payment under the

insurance program of the
social security act.

“Many such claims are filed long
after the estates have been closed,”
said Barry, “because some admin-
istrators and executors are un-
aware that benefits are due, and
therefore neglect to file claims
during the Process of adminisira-
tion. Difficulties in the payment
of these claims often arise after
the estate has been closed, and
 ",Neither
111,13_311185439-flora-hoosier-democrat-Aug-05-1933-p-1.jpg,"BYRON WHETZEL IN-
STANTLY KILLED IN
AUTOMOBILE CRASH
 ",,"Byron G. Whetzel, 20, son of Mr.
and Mrs. Ralph W. Whetzel, of near
Lafayette, formerly of the Cutler vi-
cinity and who would have been @
Senior in the School of Engineering
at Purdue the coming term, instantly
lost his life in a crossroads automo-
bile crash southeast of Lafayette
shortly after 5 o’clock last Sunday
evening. Funeral services were held
at the Cutler Presbyterian church
‘Tuesday afternoon at 2:30 o’clock and
burial was made in Ball Hill ceme-
tery.

The crash that took the life of the
young man occurred about a mile
from the Whetzel home. He had
started for Dayton, Ind., to attend a
young people’s meeting to be held at
the Presbyterian church. -He was rid-
ing alone when he crashed into an-
other machine, occupied by Mr. and
Mrs. Robert Hopkins, and Mr. and
Mrs. Frank Meekins, of Lafayette,
who were returning to their home
from swimming near Dayton. Mrs.
Hopkins, a bride since Jane 11th, was
seriously injured in the mixup and
was taken to the Home hospital at
Lafayette, by Paul Metzger, who lives
not far from the scene, and among
the first to reach the unfortunate
lady. After an examination by phy-
sicians it was said at the hospital
that Mrs. Hopkins was badly shaken
up and had suffered from shock. She
also received a very crushing blow
across the abdomen. The Hopkins
Ford coach was almost completely
wrecked and the Whetzel Chevrolet
car was badly damaged. An ambu-
lance was called from Lafayette and
took the young man’s body to the
Home hospital and then to the funer-
al home and the parents were noti-
fied. When word was feceived here
and at Cutler, former homes of the
Whetzels, it occasioned much - sad-
ness. The unfortunate youth was
born in Carroll county, near Cutler,
on June 28, 1913. He attended the
Cutler school, where he was graduat-
ed with the class of 1930. He moved
with his parents to Tippecanoe coun-
ty a little over a year ago. Survivors
besides the parents are a sister, Hel-
en, also a student at Purdue and a
grandmother, Mrs. Jennie Loman, of
Cutler. He was a member of the Cut-
ler Presbyterian church and of the
Christian Endeavor Society of the
Dayton Presbyterian church. He was
regarded as an exemplary young man
and was a straight “A” student at
Purdue. :
 ",Neither
